"","nr","age_group","age","sex","human_H","human_M","human_L","human_F","MSE_H","MSE_M","MSE_L","MSE_F","RGB_H","RGB_M","RGB_L","RGB_F"
"1",1,"OA",NA,NA,100,67,0,42,100,86,67,42,100,71,100,42
"2",2,"OA",NA,NA,40,40,50,29,20,25,100,29,50,0,100,29
"3",3,"OA",NA,NA,50,33,0,29,50,43,33,29,0,43,50,29
"4",4,"OA",NA,NA,25,29,0,38,17,40,0,38,0,29,33,38
"5",5,"YA",23,"female",33,100,40,17,100,60,50,17,67,33,67,17
"7",7,"YA",23,"female",50,43,100,17,50,40,100,17,0,57,67,17
"8",8,"YA",21,"female",0,57,0,17,17,40,100,17,50,29,33,17
"9",9,"YA",23,"female",62,100,100,21,50,71,100,21,0,71,100,21
"10",10,"YA",22,"female",43,67,50,29,50,0,80,29,50,100,0,29
"11",11,"YA",24,"male",33,40,25,25,50,50,17,25,0,50,25,25
"12",12,"YA",20,"female",33,50,80,12,0,60,67,12,33,67,67,12
"13",13,"YA",41,"male",33,60,100,25,75,50,67,25,50,83,50,25
"14",14,"YA",23,"female",50,67,100,12,100,57,33,12,0,71,50,12
"15",15,"YA",20,"female",40,60,50,4,20,75,67,4,33,50,100,4
"16",16,"YA",24,"female",75,33,100,46,50,57,100,46,100,57,75,46
"17",17,"YA",19,"female",50,100,100,21,50,57,100,21,100,43,100,21
